,Datetime,Tweet Id,Text,Number of Likes,Number of Retweets,Number of Replies,Number of Quotes
2194,2020-12-17 17:33:39+00:00,1339624815137722368,The mRNA vaccines (Pfizer and Moderna) are kind of brilliant at a science level. I’ve had a few people in my real non-Twitter life ask me to explain how it works so I’m going to try my best here in this thread while I’m waiting for a patient to show.,294903,111102,3358,22713
341,2021-08-01 05:43:34+00:00,1421708161573036035,"หมอ พยาบาล บุคคลากรหน้าด่านต้องได้ mRNA vaccine (Pfizer/Moderna) ไอ้อี VIP หน้าไหน ก็ไม่ควรได้ฉีดก่อนหมอ พยาบาล 

#ไล่ประยุทธ์ #ม็อบ1สิงหา https://t.co/BmYwwNdrag",7597,52437,177,784
1269,2021-05-03 16:25:04+00:00,1389254693596004353,วัคซีนโควิดของ Pfizer กับ Moderna เป็น mRNA vaccine ไม่ปลอดภัยสำหรับคนที่เคยมีอาการแพ้แบบรุนแรง (anaphylaxis) หรือมีการแพ้จากสารก่อการแพ้ จึงไม่ควรฉีดวัคซีนที่เป็น mRNA ทุกชนิดครับ แต่หากเคยรับวัคซีนชนิด mRNA สัก dose แล้วก็ไม่ควรรับ dose ที่สอง เพราะมันอาจจะไปกระตุ้นภูมิได้ครับ https://t.co/u8x9221Hbe,6074,51039,49,260
2287,2020-12-07 16:43:33+00:00,1335988328362090500,"Here I describe a brief overview of how the Pfizer/BioNTech or Moderna mRNA vaccines work. Taking a vaccine is one’s personal choice, and I hope this video can help someone make that decision rooted in science. https://t.co/ZjFH0DH5ca",147292,49822,3354,12257
477,2021-07-20 03:23:07+00:00,1417324161676894214,ประเทศเหี้ยนี่บาร์มันต่ำ จนขนาดออกมาเรียกร้อง mRNA vaccine คือความกล้าหาญ สำหรับเรา มันไม่เป็นการเรียกร้องเพื่อประชาธิปไตยด้วยซ้ำ มันแค่เป็นสิทธิขั้นพื้นฐานที่ควรได้รับ,5051,45650,9,17
661,2021-07-04 10:09:38+00:00,1411628257640919041,"อ.แพทย์ ที่โพสอวยจีน อวยซิโนแวค ไม่เชื่อใน mRNA vaccine สุดท้ายมีชื่อจอง moderna รพ เอกชน

เนี่ย แล้วจะไม่ให้เด็กมันด่าได้ไง",4183,41207,20,109
415,2021-07-26 02:05:42+00:00,1419479006735261697,"ถ้าได้ mRNA Vaccine ตั้งแต่แรก
- การตรวจภูมิก็ไม่ต้อง 
- กระชาย ฟ้าทะลายโจรก็ไม่ต้อง
-ไม่มีใครบินไปฉีดที่อื่น 
-ประเทศฟื้นตัวเร็ว
ค่าใช้จ่ายทั้งของรัฐและประชาชนก็คงไม่บานปลาย
ขนาดนี้ และความทุกข์ของทุกคนก็คงไม่เยอะมากเท่าวันนี้...ที่ติดเชื้อวันละหมื่นห้า🦠",8969,40915,75,65
440,2021-07-23 15:24:59+00:00,1418592990784679942,บุคลากรการแพทย์ของญี่ปุ่น ได้รับ mRNA vaccine 100% 😌 และสมเด็จจักรพรรดิไม่มีซีนไม่มีชูรูป #Olympics https://t.co/DkSVjLDTxO,6280,39474,6,45
1521,2021-04-09 00:18:41+00:00,1380314186949959682,"Story of a 66-year-old researcher, an immigrant, who rarely got grants, never got her own lab, never earned more than $60K. For four decades, she kept working on mRNA—a path considered foolish. Her work is the basis for the Pfizer and Moderna vaccines. https://t.co/wOvCEM8jja",118330,33573,955,2944
600,2021-07-08 08:25:16+00:00,1413051544832864256,"ถ้า mRNA = มรณะ
Sinovac = ซี้ ภาษาจีนแต้จิ๋วแปลว่าตายเหมือนกันค่ะ ตายเพราะอะไรคะ no vac ค่ะ no vaccine ค่ะ คือฉีดไปก็ตายเหมือนไม่มีวัคซีนงี้ พอได้ป่ะคะ",2425,26547,4,52
313,2021-08-04 02:11:09+00:00,1422741869897814019,"รู้ใช่มั้ยว่าเราจะไม่สามารถใช้ชีวิตปกติได้ ตราบใดที่ยังมี mRNA vaccine/ astrazenecaไม่มากพอ 
ดีลถึงปลายปีนี้ที่เซ็นสัญญา มี mRNA แค่ 26.5 ล้านโดส (moderna 5 + pfizer 20+1.5) และ astrazeneca อย่างมาก 40 ล้านโดส
ซึ่ง fully vaccined ได้ไม่ถึง 34 ล้านคน ถือเป็นไม่ถึง50% ของประชากรไทย",2244,23457,13,50
668,2021-07-03 15:11:33+00:00,1411341851085271052,mRNA vaccine ในตอนนี้อาจเป็นทางรอดของคนกลุ่มเล็กๆที่มีเงินพอซื้อ แต่ไม่ใช่ทางรอดของประเทศอยู่ดี ถ้าฉีดวัคซีนที่มีประสิทธิภาพให้คนจำนวนมากและทุกชนชั้นในประเทศอย่างเท่าเทียมไม่ได้ เราก็ต้องปิดๆเปิดๆแบบนี้ต่อไป ไม่ได้ดูหนัง กินข้าวนอกบ้าน ดูคอนเสิร์ต ไม่ได้ถอดแมสก์ออกจากบ้านอยู่ดี,2153,21161,13,34
461,2021-07-21 11:44:49+00:00,1417812806586404866,ญาญ่าที่โพสสตอรี่ว่า Free mRNA vaccine for all citizens นี่ยังโดนหมายเรียกเลยหรอ.. รัฐบาล ถามจริง แค่ขอวัคซีนให้คนทั้งประเทศยังจะเรียกเขาอะนะ    แบบนี้ต่างอะไรกับสั่งให้ปชชหุบปากแล้วก้มหน้ารับชะตากรรมการจัดสรรวัคซีนบ้งๆของรัฐ แค่เรียกร้องสิทธิ์ที่ตัวเองพึงได้รับตามรฐนยังไม่ได้เลย,1680,18891,2,32
2215,2020-12-15 01:30:13+00:00,1338657584685993986,"An mRNA vaccine doesn't actually contain the virus itself. Think of it as an email sent to your immune system that shows what the virus looks like, instructions to kill it, and then—like a Snapchat message—it disappears. Amazing technology.",82677,18521,718,2784
1715,2021-03-09 04:13:47+00:00,1369139327763054594,This is AMAZING. How mRNA vaccines work. By @hotvickkrishna as seen on his TikTok https://t.co/jEZGvF5m3Z https://t.co/otnfV5SxXc,41290,17274,256,2022
183,2021-08-16 18:35:26+00:00,1427338225048293378,"MORE BIG NEWS: This week, Moderna will start human trials for its HIV vaccine. It will be the first of its kind to use mRNA, which was used in its effective COVID-19 vaccine. The clinical trials are expected to end in Spring 2023. https://t.co/RomH6EpEKT",65144,17268,231,2583
1387,2021-04-19 16:19:06+00:00,1384179760364802056,By far the best description I've seen of how mRNA vaccines work is that they tell your body to make up a guy and then to get really mad at that guy,107174,13955,213,468
997,2021-06-10 13:39:08+00:00,1402983671125004295,"Moderna HIV vaccine to begin trials. 
HIV. 
Vaccine. 
Using mRNA technology. 

This is amazing. We should all invest in science. 

https://t.co/FRBqm3E1DW",39944,12742,161,1582
2111,2020-12-28 22:25:18+00:00,1343684476833034241,mRNA vaccines won’t alter your DNA but tobacco will,53452,12477,132,662
670,2021-07-03 14:38:54+00:00,1411333635744010247,"ขอเชิญบุคลากรการแพทย์ และประชาชนที่สนใจ ร่วมลงชื่อเรียกร้องให้นำเข้า mRNA vaccine ด่วน !!!โดยการติด #ต้องการmRNAvaccine ทั้งทาง Facebook IG Twitter
และลงทะเบียนผ่านทาง : https://t.co/qyx6QIyGKi หรือ QR code
เสียงของทุกคนมีความหมาย 🙏 https://t.co/P5kX6Vvquz",2038,12191,9,122
2461,2020-11-09 11:50:09+00:00,1325767629890592771,"UPDATE: We are proud to announce, along with @BioNTech_Group, that our mRNA-based #vaccine candidate has, at an interim analysis, demonstrated initial evidence of efficacy against #COVID19 in participants without prior evidence of SARS-CoV-2 infection.",35606,12153,1444,6514
181,2021-08-16 23:56:36+00:00,1427419050443952130,"mRNA vaccines don't change your DNA or stay in your body. They give your immune system instructions for how to fend off Covid, then disappear like a Snapchat message.",44304,11816,1149,670
1010,2021-06-08 02:37:55+00:00,1402092495895351296,บทความนี้โจมตี mRNA แรงมาก ทั้งๆที่ในไทยไม่ได้มี mRNA vaccine ซักตัว อีดอก https://t.co/X4NdRL1eO8,879,11506,11,71
728,2021-06-29 09:54:24+00:00,1409812486262386691,"ฝากประชาสัมพันธ์นะคะ : 💉💉

ขอเชิญบุคลากรการแพทย์ และประชาชนที่สนใจ ร่วมลงชื่อเรียกร้องให้นำเข้า mRNA vaccine ด่วน !!!โดยการติด #ต้องการmRNAvaccine ทั้งทาง Facebook IG Twitter

และลงทะเบียนผ่านทาง : https://t.co/Nm6Au7nE0V หรือ QR code https://t.co/iM9swFnevd",1423,10973,22,82
578,2021-07-09 17:36:00+00:00,1413552530735263745,"ธนาคารไทยพาณิชย์ของพระเจ้าแผ่นดิน ผู้ถือหุ้นอันดับ 1 (23.38%) ยังจัดหาวัคซีน #mRNAvaccine  ของ #โมเดอร์นา ให้กับพนักงาน

ทั้ง ๆ ที่เป็นเจ้าของสยามไบโอไซเอนซ์ ที่รับจ้างผลิตวัคซีน แอสตร้าเซนเนก้า  ซึ่งผลิตโดยเทคโนโลยีชนิดใช้ไวรัสเป็นพาหะ  (cr.ปุ๊ ฟ้าเดียวกัน) https://t.co/Nb2xMySCfQ",688,10470,9,73
1752,2021-02-27 00:37:58+00:00,1365461136070610945,"Wow, this is an absolute game changer.

There's now a mRNA vaccine in the works for malaria.

Huge, huge news for Africa. 💚

https://t.co/IArPl39IC3",36658,9570,292,1520
1536,2021-04-07 19:49:28+00:00,1379884048433168392,"It’s certainly not lost on me, a queer person, that a global pandemic that affected “everyone” spurred the development of an mRNA vaccine in *record time* and that that mRNA technology is now being used to develop a vaccine for AIDS nearly 40 years after that epidemic started.",50263,9176,159,366
451,2021-07-22 08:24:20+00:00,1418124743383740420,แย่แล้ว คณบดี รรพ ริมน้ำ โดนขุด คำสัมภาษณ์ เมื่อ 26 มกราคม 64 ที่ว่า ไม่ขอฉีด  mRNA vaccine เพราะ มีโอกาสทำให้เกิดโรคพุ่มพวง ท่าน เราเข้าใจ ทุกคนไม่ได้รู้ทุกเรื่อง ท่านคงไม่ได้ถาม อ มานพ ก่อนสินะ,1617,9149,9,22
2035,2021-01-12 08:40:33+00:00,1348912741562667008,"FANTASTIC NEWS—A potential vaccine for multiple sclerosis is now within sight on the horizon! And it’s an mRNA vaccine by BioNTech, maker of the Pfizer #COVID19 vaccine. Study in mice shows great promise for improving symptoms &amp; stopping MS progression! https://t.co/n9SJ3VhcUT https://t.co/rzboYgPV4k",30472,8514,664,2123
533,2021-07-14 05:51:31+00:00,1415187182302556160,"3. เริ่มมีการตั้งข้อสงสัยว่า งานวิจัยดังกล่าวเป็นการเอื้อประโยชน์ให้กลุ่มคนใกล้ชิดหรือไม่ เพราะการประกาศรับสมัครในกลุ่มเล็กๆ และพอเปิดเผยข้อมูลออกมา กลุ่ม Pf ได้รับการจองเต็มแล้ว

4. มีการตั้งคำถามเกี่ยวกับจริยธรรมทางการแพทย์ เพราะทราบอยู่แล้วว่า mRNA vaccine ดีกว่า viral vecter",1188,8455,2,7
534,2021-07-14 04:08:48+00:00,1415161332853215237,อาจารย์ริมน้ำแต่ละคนเคยช่วยเรียกร้องเคยช่วยผลักดันmRNA vaccineให้คนไทยกันบ้างมั้ย เชียร์ซิโนแวคกันแบบถวายหัวมาตลอด พอมาถึงตอนที่จะมีmRNAเข้ามา ก็จับจองวัคซีนเข้าร่วมโครงการวิจัยกันหน้าตาเฉย ละอายบ้างเหอะ,860,8323,1,24
1567,2021-04-01 21:17:51+00:00,1377731963101061123,Why we need Two Doses of mRNA Vaccine 💉 #vaccines #COVID19 #Pfizer #moderna #VaccinesSaveLives #vaccinated https://t.co/RFRmPAyubD,20497,8071,112,498
550,2021-07-12 14:33:51+00:00,1414593855307993094,"เทรด mRNA vaccine ยาว มาก 
mRNA vaccine คืออะไร?
mRNA วัคซีนคือเทคโนโลยีวัคซีนโลกใหม่ ที่จะทำการส่ง mRNA ที่ทำการออกแบบและสังเคราะห์ด้วยเครื่องมือวิทยาศาสตร์ โดย mRNA ที่สังเคราะห์ขึ้นจะบรรจุเอาไว้ในอนุภาคฟอสโฟลิปิดขนาดเล็ก (lipid nanoparticle) เมื่อฉีดเข้าสู่ร่างการอนุภาค https://t.co/sujaMY1mZM",3188,7696,8,25
46,2021-08-26 03:57:15+00:00,1430741101619470343,The human brain is incredible. It’s capable of both engineering a life saving mRNA vaccine and deciding that anti-parasitic cattle paste is a better option. Just unbelievable range.,40229,7600,253,266
1793,2021-02-20 16:37:13+00:00,1363165825071386624,"Virtually every aspect of the COVID vaccine, from the lipid nanoparticles to the mRNA technology, was developed in academic labs using public funds. But in the public's mind the credit goes to companies like Moderna/Pfizer. This is a missed opportunity to celebrate basic research",23999,7588,91,265
444,2021-07-23 06:40:31+00:00,1418461004241903621,"mRNA vaccine ไม่เข้านิวเคลียส ไม่จำเป็น เข้าเซลล์แล้วสังเคราะห์โปรตีนได้เลย ที่เข้านิวเคลียสคือ DNA ที่ตัดมากับ Viral rector เลียนแบบการติดเชื้อไวรัสในธรรมชาติ แต่เปลี่ยน DNA เราไม่ได้มันไม่มาต่อกัน

ถ้ามีปัญหากับ mRNA แต่ไม่มีปัญหากับ Viral Vector ปัญหาอยู่ที่สมองมึง ไม่ใช่ mRNA https://t.co/XSyZDtG0vD",1722,6786,6,36
615,2021-07-07 06:48:56+00:00,1412664916297719812,"วันนี้มาเพิ่มเทคนิคการฉีด mRNA vaccine เอ้ย filler ครับ เพื่อที่จะฉีดให้บุคลากรแพทย์ด่านหน้า เอ้ย ลูกค้า ครับ

#mrnavaccine https://t.co/XCjEsKLJ9A",3136,6620,133,117
419,2021-07-25 20:54:48+00:00,1419400765135749126,FINE it’s the Trump Vaccine. Two decades of mRNA research had nothing to do with it. The Pfizer vaccine developed prior to WaRp Speed by a Turkish immigrant in Germany meant zero. All Trump. Will THAT get you ignorant crybabies vaccinated? Trump Vaccine it is.,53718,6567,1295,358
343,2021-08-01 02:53:57+00:00,1421665474656432130,"1. ในวันที่เราพูดว่า SinoVac ประสิทธิภาพไม่ดี คุณก็ด่าว่าเราด้อยค่าวัคซีน
2. ในวันที่เรียกร้อง mRNA vaccine คุณก็ด่าว่าพฤติกรรมน่าอาย เรียกร้องแค่เพื่อตัวเอง
3. ในวันที่มีคนฉีดวัคซีน SinoVac ครบติดเชื้อตาย คุณเงียบ
4. ในวันที่ Pfizer เข้าไทย คุณบอกให้แบ่งคนอื่นบ้าง

มาเอาไร https://t.co/VhrCn0vg31 https://t.co/Te77A56A5o",542,6475,10,12
2133,2020-12-25 20:30:45+00:00,1342568484946010116,"In this post, we'll reverse-engineer the actual mRNA code of the @BioNTech_Group/@pfizer SARS-CoV-2 vaccine, character for character. And along the way, this will also explain how the vaccine works. Surprisingly, there are some fun mysteries in there!
https://t.co/HbjPFUXHUG",14332,6428,402,1650
1363,2021-04-21 16:54:33+00:00,1384913456994914305,"mRNA vaccines teach your immune system how to fend off Covid, then disappear like a Snapchat message. They don't stay in your body or change your DNA.",26904,6380,594,421
235,2021-08-11 16:47:27+00:00,1425499110208114700,"JUST IN - Pfizer, Moderna shares down as the European Medicines Agency (EMA) evaluates three new possible side-effects of the mRNA #COVID19 vaccines.",12873,6309,543,892
36,2021-08-27 04:37:49+00:00,1431113699863851010,"""Thai police is murder"" VS ""A boy called out MrNa Vaccines for PPL""

""ฆาตรกรฆ่าคน"" VS ""ขอวัคซีนให้ทุกคน""

#อีโจ้เลิกตอแหล #ผู้กํากับโจ้ 
#ปล่อยเพื่อนเรา #โควิด19  #WhatsHappeningInThailand https://t.co/FWTJGcimyF",866,5852,7,12
596,2021-07-08 14:52:51+00:00,1413149083968045061,แพทยสภาออกแถลงการณ์สนับสนุนจัดหาวัคซีนประสิทธิภาพสูง เช่น mRNA vaccine อย่างเพียงพอกระจายทั่วถึง,2559,5712,44,50
1031,2021-06-04 19:02:53+00:00,1400890821361082368,"A note to Fauci critics:

For years, he has been working tirelessly on the development of the mRNA vaccine in anticipation of a potential major viral outbreak.

And on Jan 11, 2020, his team downloaded the gene sequence &amp; on the 13th began work on the vaccine.

So keep it down.",35842,5625,1136,455
